row,reason,detail
1423,text-too-long,1193 words
1424,duration-hint-out-of-range,622.00s
1426,duration-hint-out-of-range,618.00s
1427,text-too-long,771 words
1429,duration-hint-out-of-range,603.00s
1431,text-too-long,3551 words
1432,text-too-long,1050 words
1433,text-too-long,2141 words
1434,text-too-long,596 words
1435,text-too-long,867 words
1436,text-too-long,1593 words
1437,duration-hint-out-of-range,641.00s
1439,text-too-long,886 words
1440,text-too-long,2297 words
1442,text-too-long,1687 words
1444,duration-hint-out-of-range,631.00s
1445,text-too-long,896 words
1446,text-too-long,1490 words
1447,text-too-long,2093 words
1449,text-too-long,3297 words
1451,text-too-long,2525 words
1452,text-too-long,1136 words
1453,text-too-long,2777 words
1454,text-too-long,1555 words
1455,text-too-long,2131 words
1457,text-too-long,2273 words
1458,text-too-long,783 words
1459,text-too-long,1763 words
1461,text-too-long,1032 words
1463,duration-hint-out-of-range,606.00s
1465,text-too-long,901 words
1466,text-too-long,525 words
1467,text-too-long,583 words
1469,text-too-long,686 words
1471,text-too-long,801 words
1472,duration-hint-out-of-range,643.00s
1473,text-too-long,3204 words
1474,duration-hint-out-of-range,644.00s
1475,text-too-long,790 words
1476,text-too-long,1366 words
1477,text-too-long,3342 words
1479,text-too-long,593 words
1480,duration-hint-out-of-range,610.00s
1481,text-too-long,983 words
1482,text-too-long,1751 words
1483,text-too-long,1995 words
1484,text-too-long,1370 words
1486,text-too-long,1275 words
1487,text-too-long,4269 words
1489,text-too-long,743 words
1491,text-too-long,1035 words
1492,text-too-long,752 words
1493,text-too-long,3748 words
1494,text-too-long,1896 words
1495,text-too-long,1392 words
1496,text-too-long,1058 words
1497,text-too-long,1640 words
1499,text-too-long,1669 words
1501,text-too-long,803 words
1502,text-too-long,1506 words
1503,text-too-long,701 words
1504,text-too-long,3946 words
1505,duration-hint-out-of-range,616.00s
1507,text-too-long,681 words
1510,duration-hint-out-of-range,649.00s
1511,text-too-long,2364 words
1514,text-too-long,1779 words
1516,text-too-long,1022 words
1517,text-too-long,543 words
1519,text-too-long,653 words
1522,duration-hint-out-of-range,627.00s
1523,text-too-long,1543 words
1524,text-too-long,1173 words
1526,text-too-long,991 words
1527,text-too-long,2176 words
1528,text-too-long,1225 words
1529,text-too-long,3223 words
1531,text-too-long,1723 words
1532,text-too-long,1882 words
1534,text-too-long,713 words
1535,text-too-long,2726 words
1536,text-too-long,617 words
1537,text-too-long,1351 words
1539,text-too-long,2193 words
1542,text-too-long,1673 words
1544,text-too-long,1640 words
1545,duration-hint-out-of-range,632.00s
1546,text-too-long,1088 words
1547,text-too-long,2547 words
1548,text-too-long,1301 words
1551,text-too-long,1611 words
1552,text-too-long,3402 words
1553,text-too-long,863 words
1554,text-too-long,836 words
1555,text-too-long,2509 words
1556,text-too-long,1146 words
1557,text-too-long,2476 words
1558,text-too-long,2307 words
1559,text-too-long,592 words
1560,text-too-long,769 words
1562,text-too-long,3805 words
1564,text-too-long,717 words
1565,text-too-long,1927 words
1567,text-too-long,1024 words
1568,text-too-long,2649 words
1569,text-too-long,3331 words
1573,text-too-long,2246 words
1574,text-too-long,821 words
1575,text-too-long,673 words
1579,text-too-long,997 words
1580,text-too-long,1669 words
1581,text-too-long,2037 words
1583,text-too-long,2125 words
1584,text-too-long,1175 words
1585,text-too-long,647 words
1586,text-too-long,2124 words
1587,text-too-long,656 words
1589,text-too-long,1908 words
1591,text-too-long,1687 words
1593,text-too-long,2258 words
1597,text-too-long,3438 words
1598,text-too-long,648 words
1600,duration-hint-out-of-range,647.00s
1602,text-too-long,951 words
1603,text-too-long,2187 words
1605,text-too-long,2235 words
1607,duration-hint-out-of-range,647.00s
1609,text-too-long,1853 words
1610,text-too-long,878 words
1611,text-too-long,1412 words
1612,text-too-long,842 words
1613,duration-hint-out-of-range,601.00s
1614,text-too-long,2332 words
1617,text-too-long,2181 words
1619,text-too-long,3861 words
1620,text-too-long,932 words
1621,text-too-long,1067 words
1623,text-too-long,2018 words
1624,text-too-long,755 words
1625,text-too-long,1513 words
1627,text-too-long,644 words
1628,text-too-long,3915 words
1629,duration-hint-out-of-range,613.00s
1630,text-too-long,2011 words
1634,text-too-long,924 words
1636,text-too-long,2639 words
1637,duration-hint-out-of-range,602.00s
1639,text-too-long,2973 words
1641,text-too-long,2257 words
1643,text-too-long,551 words
1644,text-too-long,1025 words
1645,text-too-long,931 words
1646,text-too-long,1430 words
1647,text-too-long,1180 words
1648,text-too-long,3085 words
1649,text-too-long,1001 words
1650,text-too-long,1682 words
1651,text-too-long,1947 words
1652,text-too-long,1382 words
1653,text-too-long,862 words
1654,text-too-long,3082 words
1656,text-too-long,1243 words
1657,text-too-long,593 words
1658,duration-hint-out-of-range,617.00s
1659,duration-hint-out-of-range,606.00s
1660,duration-hint-out-of-range,644.00s
1661,text-too-long,2521 words
1662,text-too-long,700 words
1663,text-too-long,664 words
1664,text-too-long,2011 words
1665,text-too-long,3229 words
1666,text-too-long,2406 words
1668,text-too-long,2017 words
1669,text-too-long,1174 words
1670,text-too-long,2090 words
1671,duration-hint-out-of-range,633.00s
1672,text-too-long,2932 words
1673,text-too-long,858 words
1675,text-too-long,1515 words
1677,text-too-long,3151 words
1679,text-too-long,1987 words
1681,text-too-long,2237 words
1682,text-too-long,1054 words
1683,duration-hint-out-of-range,649.00s
1684,text-too-long,2467 words
1685,text-too-long,959 words
1686,text-too-long,2354 words
1687,duration-hint-out-of-range,605.00s
1689,duration-hint-out-of-range,629.00s
1690,text-too-long,2308 words
1691,text-too-long,1538 words
1692,text-too-long,771 words
1694,text-too-long,1520 words
1695,text-too-long,1218 words
1696,text-too-long,551 words
1697,text-too-long,2059 words
1698,text-too-long,758 words
1699,text-too-long,579 words
1700,duration-hint-out-of-range,653.00s
1702,text-too-long,1329 words
1703,text-too-long,3081 words
1704,text-too-long,4091 words
1705,text-too-long,1860 words
1706,text-too-long,1352 words
1707,text-too-long,607 words
1708,text-too-long,664 words
1709,text-too-long,4687 words
1711,text-too-long,2053 words
1712,text-too-long,1285 words
1714,text-too-long,2519 words
1716,text-too-long,1297 words
1717,text-too-long,2384 words
1719,text-too-long,626 words
1720,text-too-long,696 words
1721,text-too-long,1603 words
1722,text-too-long,682 words
1724,text-too-long,1536 words
1725,text-too-long,1038 words
1726,text-too-long,637 words
1727,text-too-long,3434 words
1728,text-too-long,3085 words
1729,text-too-long,1134 words
1730,text-too-long,1420 words
1732,text-too-long,1258 words
1733,text-too-long,528 words
1734,text-too-long,1327 words
1735,text-too-long,1288 words
1738,text-too-long,3290 words
1739,text-too-long,1329 words
1740,text-too-long,2623 words
1742,duration-hint-out-of-range,624.00s
1743,text-too-long,1170 words
1744,text-too-long,695 words
1746,text-too-long,1712 words
1747,text-too-long,1293 words
1748,text-too-long,1724 words
1749,duration-hint-out-of-range,607.00s
1750,text-too-long,2832 words
1751,duration-hint-out-of-range,605.00s
1752,text-too-long,1810 words
1753,text-too-long,2177 words
1754,text-too-long,2234 words
1755,text-too-long,951 words
1757,text-too-long,2341 words
1758,text-too-long,1415 words
1760,text-too-long,3509 words
1761,text-too-long,561 words
1762,text-too-long,828 words
1763,text-too-long,597 words
1764,text-too-long,2690 words
1765,text-too-long,3514 words
1766,text-too-long,2656 words
1767,text-too-long,1217 words
1770,text-too-long,2431 words
1771,text-too-long,539 words
1772,text-too-long,1133 words
1773,text-too-long,1571 words
1774,text-too-long,2149 words
1775,text-too-long,716 words
